country,iso2c,iso3c,year,gdp_pc_ppp,region,income
Africa Eastern and Southern,ZH,AFE,2005,2602.32114135254,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1991,1818.34924372347,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2007,2972.2781392806,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1994,1788.61238074871,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2015,3456.49124540596,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1992,1776.25246334533,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2021,3907.24912735149,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2022,4229.08648606455,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1998,2019.90663420803,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2014,3426.70934351392,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1996,1945.29371523063,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1995,1858.87738803911,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1983,NA,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1993,1766.44184764847,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2019,3742.92137085928,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1980,NA,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2012,3171.73114630755,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2011,3253.88230425835,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2002,2249.46710382759,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2001,2187.10189425214,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2008,3082.39372459044,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1984,NA,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1997,2012.19232276121,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2009,3041.84830475193,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1981,NA,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2000,2116.70822640988,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1999,2052.55395894718,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1982,NA,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1986,NA,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1985,NA,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1988,NA,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1989,NA,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2010,3149.29076918953,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1987,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2021,4746.75278504545,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2009,3335.30104664953,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2013,3933.08408283969,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2018,4238.95464859763,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2010,3510.77449944674,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1995,1793.03206534796,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2012,3777.57684189878,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2011,3659.21369910009,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2014,4134.6302374492,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1999,1969.70299567223,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2020,4484.0646419224,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2019,4494.59160075906,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1996,1859.94523944697,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1985,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2003,2404.85278750203,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2002,2297.5467265618,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2001,2126.37954883883,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2000,2032.27796051238,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1988,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1998,1963.02920121231,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1997,1923.91818011167,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2022,5169.14554667835,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1986,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1980,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2008,3218.91343076233,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1982,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1981,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1990,1741.3754996558,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2017,4100.15494056468,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2016,4032.30627092374,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2015,4090.72812124437,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2006,2904.17650537648,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1989,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2004,2592.61332118023,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1987,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1991,1775.36978662494,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2005,2752.36673218308,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1994,1768.24137658681,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2007,3056.17855006491,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1984,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1983,NA,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1992,1806.61196280117,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1993,1778.75272321888,Aggregates,Aggregates
Albania,AL,ALB,1981,NA,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2020,14512.0376833706,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2015,11747.318031542,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2014,11317.2837770993,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1980,NA,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2016,12208.3753473372,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2011,10273.466834566,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2010,9755.92875964596,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2009,9025.92610692288,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2008,8469.2601248565,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2007,7584.97068697555,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2019,14792.0308217221,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2018,13696.5339985413,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2017,13004.7776256846,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2003,5169.84251077847,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2002,4840.34788189155,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2001,4451.00052366074,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2013,10588.157876701,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2012,10463.6062414773,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1998,3085.57279575656,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1997,2759.42802591376,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1996,3053.3299866176,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1995,2776.18760575277,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1994,2384.72878545201,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2006,6754.35679524853,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2005,6014.3268228394,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2004,5595.55058025693,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1990,2655.05990054189,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1989,NA,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1988,NA,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2000,3976.92608302032,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1999,3549.28442451948,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1984,NA,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1983,NA,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1982,NA,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2022,19446.2252459573,Europe & Central Asia,Upper middle income
Albania,AL,ALB,2021,16127.7048522441,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1986,NA,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1993,2142.68118489228,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1992,1898.8203036205,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1991,1988.18140632833,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1985,NA,Europe & Central Asia,Upper middle income
Albania,AL,ALB,1987,NA,Europe & Central Asia,Upper middle income
Algeria,DZ,DZA,2022,15836.0944370321,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2016,13437.8460232169,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2018,13727.1266357859,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2017,13493.560749484,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2012,14441.3293398806,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2011,14639.8779436268,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2010,14201.3659906969,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2009,13651.4472995041,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2021,14496.8654697299,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2020,12676.5130564294,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2019,13892.5333446205,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2005,12246.2692243613,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2004,11431.6856715426,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2003,10802.7506703127,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2015,13807.3515841478,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2014,14694.143827383,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2013,14370.820661674,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1999,8776.44209483463,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1998,8502.88835946396,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1997,8128.79891387939,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1996,8052.76856708202,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2008,13666.2181960534,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2007,13320.964120903,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2006,12791.3412605973,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1993,7537.93868234349,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1992,7704.51644344568,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1991,7582.07194450945,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2002,10080.182500398,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2001,9543.52035384959,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,2000,9186.81590342899,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1987,NA,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1986,NA,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1985,NA,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1984,NA,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1983,NA,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1982,NA,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1981,NA,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1980,NA,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1989,NA,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1988,NA,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1990,7602.18725687265,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1994,7462.64758765405,Middle East & North Africa,Upper middle income
Algeria,DZ,DZA,1995,7746.71683892991,Middle East & North Africa,Upper middle income
American Samoa,AS,ASM,2020,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2021,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2016,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2022,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2013,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2012,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2015,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2014,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2009,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2008,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2007,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2019,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2018,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2017,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2003,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2002,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2001,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2000,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1999,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2011,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2010,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1995,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1994,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1993,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2006,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2005,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,2004,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1990,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1989,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1988,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1987,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1986,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1985,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1984,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1983,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1982,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1981,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1980,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1998,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1992,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1991,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1997,NA,East Asia & Pacific,High income
American Samoa,AS,ASM,1996,NA,East Asia & Pacific,High income
Andorra,AD,AND,2019,57475.0692842215,Europe & Central Asia,High income
Andorra,AD,AND,1981,NA,Europe & Central Asia,High income
Andorra,AD,AND,2015,50733.2390011704,Europe & Central Asia,High income
Andorra,AD,AND,2018,55244.6554088177,Europe & Central Asia,High income
Andorra,AD,AND,2017,53084.8639640903,Europe & Central Asia,High income
Andorra,AD,AND,2016,53110.1426263211,Europe & Central Asia,High income
Andorra,AD,AND,2011,46436.1158596161,Europe & Central Asia,High income
Andorra,AD,AND,2010,43853.1712385354,Europe & Central Asia,High income
Andorra,AD,AND,2009,42522.9945639501,Europe & Central Asia,High income
Andorra,AD,AND,1980,NA,Europe & Central Asia,High income
Andorra,AD,AND,2020,52095.8414004627,Europe & Central Asia,High income
Andorra,AD,AND,2006,46852.6583902384,Europe & Central Asia,High income
Andorra,AD,AND,2005,44577.8193343081,Europe & Central Asia,High income
Andorra,AD,AND,2004,42717.2377735456,Europe & Central Asia,High income
Andorra,AD,AND,2003,41147.8806955474,Europe & Central Asia,High income
Andorra,AD,AND,2002,38787.0522534918,Europe & Central Asia,High income
Andorra,AD,AND,2014,48505.6017361608,Europe & Central Asia,High income
Andorra,AD,AND,2013,45609.2307224247,Europe & Central Asia,High income
Andorra,AD,AND,2012,45503.0444832658,Europe & Central Asia,High income
Andorra,AD,AND,1998,30072.7272723068,Europe & Central Asia,High income
Andorra,AD,AND,1997,29121.6037066069,Europe & Central Asia,High income
Andorra,AD,AND,1996,26541.5814456738,Europe & Central Asia,High income
Andorra,AD,AND,2008,44838.9949992176,Europe & Central Asia,High income
Andorra,AD,AND,2007,47501.4309292019,Europe & Central Asia,High income
Andorra,AD,AND,1992,23816.8404713631,Europe & Central Asia,High income
Andorra,AD,AND,1991,24510.2460817667,Europe & Central Asia,High income
Andorra,AD,AND,1990,24908.8709437846,Europe & Central Asia,High income
Andorra,AD,AND,1989,NA,Europe & Central Asia,High income
Andorra,AD,AND,1988,NA,Europe & Central Asia,High income
Andorra,AD,AND,1987,NA,Europe & Central Asia,High income
Andorra,AD,AND,1986,NA,Europe & Central Asia,High income
Andorra,AD,AND,1985,NA,Europe & Central Asia,High income
Andorra,AD,AND,1984,NA,Europe & Central Asia,High income
Andorra,AD,AND,1983,NA,Europe & Central Asia,High income
Andorra,AD,AND,1982,NA,Europe & Central Asia,High income
Andorra,AD,AND,2022,68470.0759483848,Europe & Central Asia,High income
Andorra,AD,AND,2021,59332.2029100127,Europe & Central Asia,High income
Andorra,AD,AND,1994,23509.4599838307,Europe & Central Asia,High income
Andorra,AD,AND,1993,22958.3257814685,Europe & Central Asia,High income
Andorra,AD,AND,2001,36895.4402454079,Europe & Central Asia,High income
Andorra,AD,AND,2000,33458.1181625074,Europe & Central Asia,High income
Andorra,AD,AND,1999,31589.958242948,Europe & Central Asia,High income
Andorra,AD,AND,1995,24934.3827742245,Europe & Central Asia,High income
Angola,AO,AGO,2017,6992.7288342812,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2020,6450.74994625154,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2019,7528.38241791217,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2013,7561.03920495179,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2012,7354.94296631261,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2011,6711.39025723883,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2018,7347.79993635052,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2022,7924.88880583901,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2021,7408.12659121059,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2007,6095.9992668935,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2006,5404.38383016978,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2005,4876.28768394823,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2004,4262.90601258776,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2016,6843.73589660504,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2015,7119.72644274401,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2014,7990.27445672775,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1991,3372.59696848741,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2003,3878.50795458421,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2002,3824.28480437228,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2010,6607.0221970301,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2009,6498.1692820981,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2008,6651.37774116168,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1998,3254.24447460856,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1997,3178.49480254268,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1996,3013.33281301183,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1995,2695.80598510339,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1994,2374.0208209749,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1993,2369.24183153437,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1992,3143.44061045983,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1987,NA,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1990,3340.5984818072,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1989,NA,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1988,NA,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1983,NA,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1986,NA,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1985,NA,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1984,NA,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1982,NA,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1981,NA,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1980,NA,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2001,3427.85394963395,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,2000,3326.77991382792,Sub-Saharan Africa,Lower middle income
Angola,AO,AGO,1999,3262.97552888306,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,AG,ATG,2003,20127.345572169,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2022,29933.8893698902,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2018,24524.2137953887,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2021,25745.4958067746,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2020,22370.0918693813,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2019,26550.589844733,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2014,21671.4737856616,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2013,21760.5232864254,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2012,23011.7386611366,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2011,23804.0790107696,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2010,24071.0297956482,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2009,26156.9151715965,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2008,29978.2095861092,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2007,29850.5675734636,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2002,18812.7827770729,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2001,18568.679914651,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2017,21422.0021576627,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2016,21320.4375067809,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,2015,20985.4388292177,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,1999,18088.3822356782,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,1998,17496.1487515533,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,1997,16836.0619448521,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,1996,16016.9331941163,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,1995,15062.3522451447,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,1994,15736.1681149521,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,1993,14719.5095217977,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,1992,13908.4512651294,Latin America & Caribbean,High income
Antigua and Barbuda,AG,ATG,1991,13658.4986142765,Latin America & Caribbean,High income
